case_enquiry_id,open_dt,target_dt,closed_dt,ontime,case_status,closure_reason,case_title,subject,reason,type,queue,department,submittedphoto,closedphoto,location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,location_street_name,location_zipcode,latitude,longitude,source
101004172681,2022-02-09 13:48:00,2022-05-10 13:48:55,2022-02-11 14:22:11,ONTIME,Closed,Case Closed. Closed date : Fri Feb 11 14:22:11 EST 2022 Resolved No cause  no Evidence of roaches or mice. ,SCH2/11Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,59 Pinckney St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,0503,59 Pinckney St,02114,42.359,-71.0674,Constituent Call
101004175593,2022-02-11 14:07:00,2022-05-12 14:07:37,,OVERDUE,Open, ,SCH2/17Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,24 Bellflower St  Dorchester  MA  02125,6,03,2,C6,Dorchester,5,Ward 7,0708,24 Bellflower St,02125,42.3243,-71.0589,Constituent Call
101004167695,2022-02-06 17:42:00,2022-05-07 17:42:42,2022-02-09 10:14:17,ONTIME,Closed,Case Closed. Closed date : Wed Feb 09 10:14:17 EST 2022 Resolved Sidewalk shoveled  ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,PWDx_Code Enforcement,PWDx,,https://spot-boston-res.cloudinary.com/image/upload/v1644419652/boston/production/puveuis4x5zjim7nekls.jpg,15 Mclellan St  Dorchester  MA  02121,7,03,4,B3,Greater Mattapan,8,Ward 14,1407,15 Mclellan St,02121,42.3006,-71.0852,Constituent Call
101004178543,2022-02-14 17:05:00,2022-05-15 17:05:40,2022-02-15 12:48:54,ONTIME,Closed,Case Closed. Closed date : 2022-02-15 12:48:54.097 resolved owner is having stove connected 2/15/22 tenant will call for new appointment if the owner does not hook up the stove ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,318 Warren St  Roxbury  MA  02119,9,10B,7,B2,Roxbury,13,Ward 12,1204,318 Warren St,02119,42.32,-71.0812,Constituent Call
101004179167,2022-02-15 09:30:00,2022-05-16 09:30:40,2022-02-18 14:01:06,ONTIME,Closed,Case Closed. Closed date : Fri Feb 18 14:01:06 EST 2022 Resolved Spoke with occupant  maintenance were at unit addressing the issue. No Cause 2/18/22 ,SCH 2/18Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,118 Draper St  Dorchester  MA  02122,7,03,3,C11,Dorchester,8,Ward 15,1507,118 Draper St,02122,42.3054,-71.0657,Constituent Call
101004192560,2022-02-17 13:38:00,2022-05-18 13:38:18,2022-02-23 13:49:08,ONTIME,Closed,Case Closed. Closed date : Wed Feb 23 13:49:08 EST 2022 Resolved No Cause   called occupant lvm  occupant returned phone call later. I gave time between 1-2:30. Occupant stated he may be there. Arrived @ premises rang door bell  called occupant went straight to voice mail. Left message and door knocker.  2/23/22 ,SCH2/24Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,33 Michigan Ave  Dorchester  MA  02121,7,03,4,B3,Greater Mattapan,13,Ward 14,1403,33 Michigan Ave,02121,42.302,-71.083,Constituent Call
101004203541,2022-02-28 07:07:00,2022-05-29 07:07:19,2022-02-28 11:13:44,ONTIME,Closed,Case Closed. Closed date : 2022-02-28 11:13:44.69 RESOLVED HOT WATER RESTORED ,SCH3/9Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,70 Saint Botolph St  Boston  MA  02116,4,1C,2,D4,Boston,6,04,0402,70 Saint Botolph St,02116,42.3455,-71.0797,Constituent Call
101004208307,2022-03-03 08:46:00,2022-06-01 08:46:21,2022-03-22 15:41:11,ONTIME,Closed,Case Closed. Closed date : Tue Mar 22 15:41:11 EDT 2022 Noted Notice written 3/18/22 ,SCH3/9Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,28 Fleet St  Boston  MA  02113,3,1B,1,A1,Downtown / Financial District,3,Ward 3,0301,28 Fleet St,02113,42.3646,-71.0526,Constituent Call
101004209883,2022-03-04 12:41:17,2022-06-02 12:41:17,2022-03-04 13:12:10,ONTIME,Closed,Case Closed. Closed date : 2022-03-04 13:12:10.38 Case Invalid 101004209887 REPLACED THIS CASE # ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,529 Harvard St  Dorchester  MA  02126,12,02,4,B3,Dorchester,9,14,1408,529 Harvard St,02126,42.3594,-71.0587,Constituent Call
101004221410,2022-03-15 12:06:00,2022-06-13 12:06:42,2022-03-22 10:24:23,ONTIME,Closed,Case Closed. Closed date : Tue Mar 22 10:24:23 EDT 2022 Noted Violations found. Notice written. ,SCH3/22Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,360 Ruggles St  Mission Hill  MA  02120,9,10A,7,B2,Mission Hill,13,04,0409,360 Ruggles St,02120,42.3366,-71.095,Constituent Call
101004229949,2022-03-22 15:05:00,2022-06-20 15:05:06,2022-04-07 08:19:48,ONTIME,Closed,Case Closed. Closed date : Thu Apr 07 08:19:48 EDT 2022 Resolved No cause. No violation  ,SCH4/5Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,286 Roxbury St  Roxbury  MA  02119,7,10B,7,B2,Roxbury,13,09,0905,286 Roxbury St,02119,42.3301,-71.0942,Constituent Call
101004230699,2022-03-23 08:51:00,2022-06-21 08:51:22,2022-04-06 14:27:13,ONTIME,Closed,Case Closed. Closed date : Wed Apr 06 14:27:13 EDT 2022 Resolved Occupant became combative during inspection  using profanities and hitting her self. Unable to perform thorough inspection. Case closed. ,SCH4/6Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,7 Frawley St  Boston  MA  02115,9,10A,8,B2,Mission Hill,14,Ward 10,1004,7 Frawley St,02115,42.3328,-71.1082,Constituent Call
101004241594,2022-04-01 17:53:29,2022-06-30 17:53:29,2022-04-04 11:28:06,ONTIME,Closed,Case Closed. Closed date : 2022-04-04 11:28:06.63 resolved no eform or contact information ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,221 Blue Hill Ave  Roxbury  MA  02119,7,10B,7,B2,Roxbury,13,12,1204,221 Blue Hill Ave,02119,42.3594,-71.0587,Constituent Call
101004263128,2022-04-20 15:40:00,2022-07-19 15:40:35,2022-04-26 13:25:53,ONTIME,Closed,Case Closed. Closed date : Tue Apr 26 13:25:53 EDT 2022 Noted Violations found. Notice written. ,SCH4/26Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,5 Linden St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2104,5 Linden St,02134,42.3557,-71.1313,Constituent Call
101004271642,2022-04-27 13:35:00,2022-07-26 13:35:24,2022-05-13 10:59:15,ONTIME,Closed,Case Closed. Closed date : Fri May 13 10:59:15 EDT 2022 Resolved Violation order issued  ,SCH5/5Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,760 Cummins Hwy  Mattapan  MA  02126,8,07,5,B3,Greater Mattapan,9,Ward 18,1821,760 Cummins Hwy,02126,42.2709,-71.1006,Constituent Call
101004288302,2022-05-11 14:26:00,2022-08-09 14:26:25,2022-05-18 12:25:56,ONTIME,Closed,Case Closed. Closed date : Wed May 18 12:25:56 EDT 2022 Resolved No cause. No violation at time of inspection 5/18 Cm  ,SCH5/18Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,81 Polk St  Charlestown  MA  02129,3,1A,1,A15,Charlestown,2,Ward 2,0204,81 Polk St,02129,42.3801,-71.0604,Constituent Call
101004297696,2022-05-18 16:29:00,2022-08-16 16:29:01,2022-05-26 08:40:06,ONTIME,Closed,Case Closed. Closed date : Thu May 26 08:40:06 EDT 2022 Resolved Inspection no longer needed by occupant. Case closed. ,SCH 5/26 Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,246 S Huntington Ave  Jamaica Plain  MA  02130,9,10A,6,E13,Jamaica Plain,11,Ward 10,1008,246 S Huntington Ave,02130,42.3247,-71.112,Constituent Call
101004308433,2022-05-19 09:15:00,2022-08-17 09:15:42,2022-06-01 07:42:39,ONTIME,Closed,Case Closed. Closed date : Wed Jun 01 07:42:39 EDT 2022 Noted ,SCH5/24Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,9 Cass St  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,20,2016,9 Cass St,02132,42.2764,-71.1643,Constituent Call
101004333168,2022-06-07 14:47:00,2022-09-05 14:47:27,2022-06-17 14:44:38,ONTIME,Closed,Case Closed. Closed date : Fri Jun 17 14:44:38 EDT 2022 Noted Notice written  ,SCH6/16Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,146 Medford St  Charlestown  MA  02129,3,1A,1,A15,Charlestown,2,Ward 2,0202,146 Medford St,02129,42.3791,-71.0581,Constituent Call
101004355032,2022-06-16 15:30:00,2022-09-14 15:30:36,,OVERDUE,Open, ,SCH6/23Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Building (INTERNAL),ISD,,https://spot-boston-res.cloudinary.com/image/upload/v1656506735/boston/production/kmm0j8hzph72puobaf2v.jpg | https://spot-boston-res.cloudinary.com/image/upload/v1656506736/boston/production/sgho1zyhf18ajric13dp.jpg,401 Old Colony Ave  South Boston  MA  02127,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 7,0707,401 Old Colony Ave,02127,42.3265,-71.0529,Constituent Call
101004371685,2022-06-30 09:28:00,2022-09-28 09:28:01,2022-07-06 08:51:56,ONTIME,Closed,Case Closed. Closed date : Wed Jul 06 08:51:56 EDT 2022 Noted Notice Written 7/5/22 ,SCH7/5Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,229 A St  Boston  MA  02210,6,05,2,C6,South Boston / South Boston Waterfront,5,Ward 6,0601,229 A St,02210,42.3463,-71.0514,Constituent Call
101004402940,2022-07-26 10:54:00,2022-10-24 10:54:37,2022-08-03 09:59:17,ONTIME,Closed,Case Closed. Closed date : Wed Aug 03 09:59:17 EDT 2022 Resolved Occupant no longer needs inspection. Case closed. ,SCH8/3Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,INTERSECTION of Barbara St & S Huntington Ave  Jamaica Plain  MA  ,9,02,6,E13,Jamaica Plain,11,19,1903,INTERSECTION Barbara St & S Huntington Ave,,42.3594,-71.0587,Constituent Call
101004403087,2022-07-26 12:01:00,2022-10-24 12:01:16,2022-08-03 14:24:36,ONTIME,Closed,Case Closed. Closed date : Wed Aug 03 14:24:36 EDT 2022 Noted Violations found. Notice written. ,SCH8/3Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,6 Orkney Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2114,6 Orkney Rd,02135,42.3373,-71.1477,Constituent Call
101004407419,2022-07-29 10:56:00,2022-10-27 10:56:21,2022-08-16 07:39:53,ONTIME,Closed,Case Closed. Closed date : Tue Aug 16 07:39:53 EDT 2022 Resolved No cause. ,SCH8/5Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,448 Hyde Park Ave  Roslindale  MA  02131,12,02,4,E18,Roslindale,10,Ward 18,1807,448 Hyde Park Ave,02131,42.2851,-71.1187,Constituent Call
101004410299,2022-08-01 09:33:00,2022-10-30 09:33:53,,OVERDUE,Open, ,Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Building (INTERNAL),ISD,,,50-58 Annunciation Rd  Mission Hill  MA  02120,9,10A,7,B2,Mission Hill,13,Ward 4,0409,50-58 Annunciation Rd,02120,42.3351,-71.0929,Constituent Call
101004413508,2022-08-03 13:54:00,2022-11-01 13:54:38,2022-08-24 11:01:26,ONTIME,Closed,Case Closed. Closed date : Wed Aug 24 11:01:26 EDT 2022 Resolved Occupant would not like to proceed with inspection at this time. Case closed. ,SCH8/24Maintenance Complaint - Residential,Inspectional Services,Housing,Maintenance Complaint - Residential,ISD_Housing (INTERNAL),ISD,,,534 Massachusetts Ave  Roxbury  MA  02118,4,1C,7,D4,South End,6,Ward 9,0902,534 Massachusetts Ave,02118,42.3389,-71.079,Constituent Call
