OBJECTID,ZIP5,ShapeSTArea,ShapeSTLength
1,02134,37219357.28,40794.1824
2,02125,64760516.61,62224.52144
3,02110,6637283.755,18358.2135
4,02118,31161577.07,32353.40762
5,02126,60785850.31,45488.39471
6,02109,5536731.44,22538.30584
7,02021,2361.904997,432.1947022
8,02113,2807327.853,8507.459971
9,02130,105221153,64225.02221
10,02121,48905922.24,35217.58192
11,02119,44511498.53,37680.7021
12,02115,19771296.04,34806.58402
13,02163,3271313.241,7298.781943
14,02135,78620825.92,61170.63094
15,02199,1603177.363,5140.730822
16,02459,24832.75673,9295.150639
17,02124,85658048.05,57673.00775
18,02132,129360685.5,68024.57171
19,02114,12538634.21,27934.53142
20,02108,6162153.074,18485.04013
21,02136,128128953.3,65353.75783
22,02111,7823799.346,13814.87949
23,02210,32373210.07,36215.56402
24,02116,19117646.17,23262.91227
25,02131,81688796.5,68311.54512
26,02127,67536142.74,51905.25164
27,02120,17329493.55,28148.29991
28,02203,864466.7533,4052.846084
29,02215,25198308,37861.73131
30,02129,42249762.53,38078.09545
31,02128,147802204.1,82747.69032
32,02122,61086361.34,74811.18401
33,02151,8707547.791,24981.90479
34,02186,99.52195583,96.86724548
35,02026,19174.03,4025.190772
36,02152,8873432.586,15553.4416
37,02467,5696.389457,2897.480451
38,02467,181.8374433,229.3057174
39,02467,2806999.962,10562.69323
40,02467,1282571.021,7052.504726
41,02467,8825573.507,21844.88343
42,02467,4467229.035,11198.56289
43,02467,5059.771652,975.8331207
