Location,"Building Address (click below for property website, where available)",For Current Vacancies and More Information,Number of Units Tracked,Bedroom Sizes,AMI Categories
Allston,8 Griggs Street,The Mount Vernon Company: 617.267.0006,2,1BR,80-100%; 100%
Allston,31 North Beacon Street,Carol Fiore: cfiore@78clean.com,3,"Studio, 1BR, 2BR",70%
Allston,40 Malvern Street,40Malvern@maloneyproperties.com,6,"1BR, 2BR",70%
Allston,450 Cambridge Street,Maloney Properties: 617.209.5406 450Cambridge@maloneyproperties.co m,5,"1BR, 2BR",70%
Allston,"1505
Commonwealth Avenue",LBC Boston: 617.599.7261,10,"Studio, 1BR, 2BR",70%
Allston,"Continuum
219 Western Avenue",Continuum@maloneyproperties.com,42,"Studio, 1BR, 2BR, 3BR",70%
Allston,The Eco Allston 75 Brainerd Road,National Development: 857.576.6160,14,"Studio, 1BR, 2BR",70%
Allston,The Edge 60–66 Brainerd Road,National Development: 857.576.6160,10,"Studio, 1BR, 2BR",70%
Allston,"The Element
65 Brainerd Road",National Development: 857.576.6160,4,"Studio, 1BR",70%
Allston,"The Gateway 1298 & 1302
Commonwealth Ave",Mount Vernon: 617.267.0006,8,"Studio, 1BR",70%
Allston,"The Radius Apartments
530 Western Avenue",Radius@maloneyproperties.com,17,"micro, studio, 1BD, 2BD",70%
Allston,"Trac 75
75 Braintree Street","Dolben: 617-539-7575
trac75@dolben com",11,"Studio, 1BR, 2BR, 3BR",70%
Back Bay,30 Dalton 30 Dalton Street,Bozzuto Management Co.: 617.302.9874,14,"1BR, 2BR",70%
Back Bay,Avalon @ Exeter 77 Exeter Street,Avalon Communities: 617.236.1369,6,"Studio, 1BR",80-120%
Back Bay,Avalon @ Prudential 780 Boylston Street,Avalon Communities: 617.536.9300,60,"Studio, 1BR, 2BR","65%, 65-80%, 80-100%,
100% 4persons, 100-120%"
Back Bay,Mandarin Oriental 778 Boylston Street,Maloney Properties: 617.209.5406 Mandarin@maloneyproperties.com,10,"1BR, 2BR","80%, 80-100%, 90%, 100-
120%"
Brighton,150 Chestnut Hill Avenue,Maloney Properties: 617.209.5406 150Chestnut@maloneyproperties.com,3,2BR,70%
