Label (Grouping),ZCTA5 02134!!Total!!Estimate,ZCTA5 02125!!Total!!Estimate,ZCTA5 02110!!Total!!Estimate,ZCTA5 02118!!Total!!Estimate,ZCTA5 02126!!Total!!Estimate,ZCTA5 02109!!Total!!Estimate,ZCTA5 02021!!Total!!Estimate,ZCTA5 02113!!Total!!Estimate,ZCTA5 02130!!Total!!Estimate,ZCTA5 02121!!Total!!Estimate,ZCTA5 02119!!Total!!Estimate,ZCTA5 02115!!Total!!Estimate,ZCTA5 02163!!Total!!Estimate,ZCTA5 02135!!Total!!Estimate,ZCTA5 02199!!Total!!Estimate,ZCTA5 02459!!Total!!Estimate,ZCTA5 02124!!Total!!Estimate,ZCTA5 02132!!Total!!Estimate,ZCTA5 02114!!Total!!Estimate,ZCTA5 02108!!Total!!Estimate,ZCTA5 02136!!Total!!Estimate,ZCTA5 02111!!Total!!Estimate,ZCTA5 02210!!Total!!Estimate,ZCTA5 02116!!Total!!Estimate,ZCTA5 02131!!Total!!Estimate,ZCTA5 02127!!Total!!Estimate,ZCTA5 02120!!Total!!Estimate,ZCTA5 02203!!Total!!Estimate,ZCTA5 02215!!Total!!Estimate,ZCTA5 02129!!Total!!Estimate,ZCTA5 02128!!Total!!Estimate,ZCTA5 02122!!Total!!Estimate,ZCTA5 02151!!Total!!Estimate,ZCTA5 02186!!Total!!Estimate,ZCTA5 02026!!Total!!Estimate,ZCTA5 02152!!Total!!Estimate,ZCTA5 02467!!Total!!Estimate
AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 18 to 24 years,"4,854","4,304",81,"2,710","2,002",216,"1,359","1,252","2,454","3,350","3,208","16,381",918,"6,975",114,"2,266","5,545",976,991,963,"2,927","1,546",331,"3,754","2,380","2,586","5,856",0,"15,706",691,"4,027","2,305","4,061","3,180","2,079",937,"7,151"
        High school graduate or higher,4770,3735,81,2420,1421,216,1138,1244,2265,2561,2800,16258,918,6766,114,2164,4469,784,956,946,2302,1546,331,3710,2085,2417,5698,0,15585,661,3233,1887,3546,2986,1877,870,7060
    Population 25 years and over,"13,559","23,982","2,066","22,262","20,644","3,103","17,228","5,808","32,877","18,946","18,584","11,283","1,343","34,414","1,237","12,498","38,044","21,758","11,371","3,267","24,773","5,360","3,870","17,581","24,745","29,846","7,656",24,"9,876","15,732","34,676","18,065","38,360","17,601","18,557","14,359","11,902"
        High school graduate or higher,"12,811","20,349","2,020","18,584","17,442","2,995","16,539","5,698","30,369","15,454","14,780","10,251","1,343","31,840","1,237","12,435","32,275","20,564","10,982","3,168","21,345","4,294","3,870","16,186","22,392","27,966","6,252",24,"9,538","14,362","25,898","14,430","32,110","16,722","17,617","13,759","11,676"
    Population 25 to 34 years,"8,674","8,027",336,"7,646","4,801","1,341","2,657","3,579","11,894","4,958","4,876","4,550","1,236","18,035",381,"1,389","10,193","4,498","5,351","1,078","5,400","1,629","1,336","5,950","5,640","14,286","3,293",0,"5,860","5,053","12,446","5,147","8,195","1,959","3,437","2,803","2,025"
        High school graduate or higher,"8,549","7,590",336,"7,358","4,413","1,341","2,610","3,536","11,633","4,415","4,307","4,474","1,236","17,665",381,"1,387","9,582","4,313","5,260","1,019","4,966","1,578","1,336","5,756","5,381","14,056","3,182",0,"5,813","4,906","10,192","4,908","7,428","1,836","3,247","2,614","2,018"
    Population 35 to 44 years,"1,689","4,601",186,"3,507","4,374",529,"3,339",868,"6,745","3,391","2,952","1,707",65,"4,773",348,"2,151","7,257","3,358","1,792",432,"5,147",855,946,"2,637","5,265","5,370",958,0,"1,672","3,380","7,266","4,075","8,398","3,850","2,799","2,232","2,021"
        High school graduate or higher,"1,619","4,168",186,"3,292","4,005",529,"3,305",851,"6,446","2,925","2,704","1,535",65,"4,403",348,"2,151","6,495","3,250","1,728",425,"4,582",688,946,"2,605","5,009","5,157",832,0,"1,665","3,192","5,247","3,392","6,961","3,658","2,730","2,203","1,868"
    Population 45 to 64 years,"2,053","7,646",692,"7,427","6,878",650,"6,519",806,"8,564","6,877","6,855","2,625",42,"6,225",253,"4,836","13,091","8,423","2,436",985,"9,710","1,461","1,234","5,401","9,376","7,009","2,350",0,"1,561","4,780","11,058","5,872","14,427","7,437","7,416","5,634","4,171"
