,case_no,status_dttm,status,code,value,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location,neighborhood
0,HVIOL-662883,2023-02-22 16:34:56,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",116,,Hutchings,ST,Dorchester,MA,02121,12,116 Hutchings St #1,,dorchester,MA,02121,256986,42.31161000001751,-71.09234000120948,"42.31161000001751 , -71.09234000120948",Roxbury
1,HVIOL-662883,2023-02-22 16:34:56,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",116,,Hutchings,ST,Dorchester,MA,02121,12,116 Hutchings St #1,,dorchester,MA,02121,256986,42.31161000001751,-71.09234000120948,"42.31161000001751 , -71.09234000120948",Roxbury
2,HVIOL-662883,2023-02-22 16:34:56,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",116,,Hutchings,ST,Dorchester,MA,02121,12,116 Hutchings St #1,,dorchester,MA,02121,256986,42.31161000001751,-71.09234000120948,"42.31161000001751 , -71.09234000120948",Roxbury
3,HVIOL-662883,2023-02-22 16:34:56,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",116,,Hutchings,ST,Dorchester,MA,02121,12,116 Hutchings St #1,,dorchester,MA,02121,256986,42.31161000001751,-71.09234000120948,"42.31161000001751 , -71.09234000120948",Roxbury
4,HVIOL-662883,2023-02-22 16:34:56,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",116,,Hutchings,ST,Dorchester,MA,02121,12,116 Hutchings St #1,,dorchester,MA,02121,256986,42.31161000001751,-71.09234000120948,"42.31161000001751 , -71.09234000120948",Roxbury
5,HVIOL-662883,2023-02-22 16:34:56,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",116,,Hutchings,ST,Dorchester,MA,02121,12,116 Hutchings St #1,,dorchester,MA,02121,256986,42.31161000001751,-71.09234000120948,"42.31161000001751 , -71.09234000120948",Roxbury
6,HVIOL-662682,2023-02-21 15:29:54,Open,CMR410.351 B,,Owners Installation/Maintenance Responsibility - All Owner-installed optional equipment,974,,Saratoga,ST,East Boston,MA,02128,01,60 Border St,,east boston,MA,02128,306474,42.38711000004081,-71.007620001253,"42.38711000004081 , -71.007620001253",East Boston
7,HVIOL-662681,2023-02-21 15:29:32,Open,CMR410.482 A,,"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",734,,Cummins,HWY,Mattapan,MA,02126,18,104 Thatcher St.,,milton,MA,02186,221206,42.27091100003018,-71.10190700119084,"42.27091100003018 , -71.10190700119084",Mattapan
24,HVIOL-662340,2023-02-17 14:28:12,Open,CMR410.500,,"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",116,,Hutchings,ST,Dorchester,MA,02121,12,116 Hutchings St #1,,dorchester,MA,02121,256986,42.31161000001751,-71.09234000120948,"42.31161000001751 , -71.09234000120948",Roxbury
25,HVIOL-662340,2023-02-17 14:28:12,Open,CMR410.351 A,,"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",116,,Hutchings,ST,Dorchester,MA,02121,12,116 Hutchings St #1,,dorchester,MA,02121,256986,42.31161000001751,-71.09234000120948,"42.31161000001751 , -71.09234000120948",Roxbury
