Subcategory in RentSmart's Housing Violations,Code of Massachusetts Regulations (CMR) Number
"Smoke Detectors & Carbon Monoxide Alarms - Owner shall provide, install and maintain in operable condition smoke detectors and carbon monoxide alarms",105 CMR 410.482: Smoke Detectors and Carbon Monoxide Alarms
"Owners Responsibility to Maintain Structural Elements - Structural elements  shall be maintained free from holes, cracks, loose plaster, or other defects.",105 CMR 410.353: Asbestos Material
Owners Installation/Maintenance Responsibility - All Owner-installed optional equipment,105 CMR 410.351: Owner's Installation and Maintenance Responsibilities
"Owners Installation/Maintenance Responsibility - All facilities and equipment which are required by owner including but not limited to water, gas, electrical and heating, shall be installed in accordance with all accepted codes.",105 CMR 410.351: Owner's Installation and Maintenance Responsibilities
"Extermination of Insects, Rodents and Skunks - The owner of a dwelling containing two or more dwelling units shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them","105 CMR 410.550: Extermination of Insects, Rodents and Skunks"
"Extermination of Insects, Rodents and Skunks - Extermination shall be accomplished by eliminating the harborage places of insects and rodents.  All use of pesticides shall be in accordance with applicable laws and regulations of the Department of Food and Agricultures Pesticide Board.","105 CMR 410.550: Extermination of Insects, Rodents and Skunks"
"Heating Facilities Required - Owner shall provide & maintain in good operating condition the facilities for heating every habitable room and every room containing a toilet, shower or bathtub.",105 CMR 410.200: Heating Facilities Required
"Hot Water - Facilities for providing a min. temperature of hot water at 110F , max. temperature 130F",105 CMR 410.190: Hot Water
Egress Obstruction - No person shall obstruct any exit or passageway.,105 CMR 410.451: Egress Obstructions
Temperature Requirements - Min. 68F between 7:00 AM and 11:00 PM; atleast 64F between 11:01 PM and 6:59 AM; Temp shall at no time exceed 78F during heating season.,105 CMR 410.201: Temperature Requirements
"Extermination of Insects, Rodents and Skunks - Occupant of a dwelling containing one dwelling unit shall maintain it and its premises free from all rodents, cockroaches and insect infestation and shall be responsible for exterminating them","105 CMR 410.550: Extermination of Insects, Rodents and Skunks"
"Maint. of Areas Free from Garbage & Rubbish(Common Areas) - In any dwelling, the owner shall be responsible for maintaining in a clean and sanitary condition free of garbage, rubbish, filth all common areas.",105 CMR 410.602: Maintenance of Areas Free from Garbage and Rubbish
"Maint. of Areas Free from Garbage & Rubbish - Dwelling that contains 3 units or less, occ shall be responsible for maintaining in a clean & sanitary condition, free of garbage & filth the stairways leading/landing adjacent to his unit if.",105 CMR 410.602: Maintenance of Areas Free from Garbage and Rubbish
"Maint. of Areas Free from Garbage & Rubbish(Land) - The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean and sanitary condition.",105 CMR 410.602: Maintenance of Areas Free from Garbage and Rubbish
Smoke Detectors & Carbon Monoxide Alarms - Board of Health shall not impose additional requirements if local fire dpmt found dwelling to be adequately equipped.,105 CMR 410.482: Smoke Detectors and Carbon Monoxide Alarms
Smoke Detectors & Carbon Monoxide Alarms - Board of Health shall notify chief of local fire dpmt of any violations under 105 CMR 410.482,105 CMR 410.482: Smoke Detectors and Carbon Monoxide Alarms
"Conditions Deemed to Endanger or Impair Health or Safety - Shutoff and/or failure to restore electricity, gas or water.",105 CMR 410.750: Conditions Deemed to Endanger or Impair Health or Safety
Conditions Deemed to Endanger or Impair Health or Safety - Failure to provide a smoke detector or carbon monoxide alarm required by 105 CMR 410.482.,105 CMR 410.750: Conditions Deemed to Endanger or Impair Health or Safety
